,RUL-predicted,TRUE-RUL
0,206.7175,142
1,221.8575,141
2,206.8175,140
3,206.47,139
4,211.46,138
5,219.365,137
6,215.635,136
7,205.9325,135
8,208.17,134
9,211.1175,133
10,213.525,132
11,198.52,131
12,209.1925,130
13,206.4875,129
14,196.98,128
15,199.855,127
16,228.185,126
17,184.0175,125
18,183.785,124
19,184.5025,123
20,196.7125,122
21,195.305,121
22,206.125,120
23,189.1575,119
24,178.835,118
25,191.6,117
26,171.765,116
27,205.8425,115
28,182.8925,114
29,170.55,113
30,167.01,112
31,182.7175,146
32,184.4025,145
33,199.625,144
34,203.335,143
35,195.97,142
36,200.655,141
37,196.9775,140
38,197.0925,139
39,185.5325,138
40,188.57,137
41,195.3525,136
42,192.1625,135
43,180.1725,134
44,186.45,133
45,183.83,132
46,191.9575,131
47,187.7,130
48,181.5825,129
49,181.885,128
50,184.665,127
51,177.7325,126
52,173.2625,125
53,173.7525,124
54,163.825,123
55,171.8775,122
56,175.625,121
57,169.7175,120
58,170.73,119
59,172.455,118
60,165.655,117
61,158.7825,116
62,160.24,115
63,155.075,114
64,169.0425,113
65,164.5425,112
66,162.8725,111
67,174.195,110
68,157.6225,109
69,147.13,108
70,159.7175,107
71,153.805,106
72,163.58,105
73,149.1775,104
74,147.955,103
75,152.9775,102
76,147.0975,101
77,159.105,100
78,154.52,99
79,152.09,98
80,188.0975,194
81,191.6,193
82,179.7775,192
83,191.195,191
84,189.6025,190
85,184.3325,189
86,188.4075,188
87,176.9125,187
88,194.755,186
89,183.46,185
90,194.535,184
91,182.8125,183
92,186.0275,182
93,178.8925,181
94,188.9175,180
95,184.0425,179
96,175.8075,178
97,176.7775,177
98,171.3375,176
99,166.55,175
100,171.6075,174
101,172.76,173
102,170.695,172
103,169.4225,171
104,172.525,170
105,168.8725,169
106,161.6475,168
107,169.17,167
108,155.8425,166
109,166.725,165
110,158.73,164
111,159.1875,163
112,161.1775,162
113,160.09,161
114,159.1075,160
115,168.005,159
116,161.255,158
117,157.115,157
118,156.6525,156
119,156.855,155
120,160.085,154
121,152.14,153
122,148.3725,152
123,153.7825,151
124,144.29,150
125,157.2425,149
126,147.965,148
127,145.4525,147
128,150.145,146
129,133.9675,145
130,154.1475,144
131,143.5175,143
132,142.0625,142
133,150.1275,141
134,158.51,140
135,141.12,139
136,138.29,138
137,130.255,137
138,139.4925,136
139,141.7475,135
140,140.3525,134
141,146.7025,133
142,136.72,132
143,130.3825,131
144,147.3925,130
145,124.8075,129
146,137.03,128
147,134.445,127
148,129.6475,126
149,116.53,125
150,123.1875,124
151,125.525,123
152,123.6275,122
153,122.0375,121
154,124.2325,120
155,121.77,119
156,112.5175,118
157,126.93,117
158,120.3825,116
159,118.8825,115
160,118.1075,114
161,113.975,113
162,103.73,112
163,113.385,111
164,111.99,110
165,119.285,109
166,100.9825,108
167,100.6,107
168,106.845,106
169,111.8025,105
170,110.72,104
171,109.51,103
172,104.4725,102
173,95.0825,101
174,96.12,100
175,102.12,99
176,113.99,98
177,98.165,97
178,100.0575,96
179,95.9025,95
180,100.3125,94
181,100.18,93
182,91.615,92
183,81.0625,91
184,92.5525,90
185,81.995,89
186,97.12,88
187,87.215,87
188,97.2875,86
189,89.9475,85
190,72.02,84
191,58.46,83
192,68.38,82
193,77.1025,81
194,74.835,80
195,74.56,79
196,71.08,78
197,75.515,77
198,76.9575,76
199,49.6,75
200,72.33,74
201,61.055,73
202,55.325,72
203,68.8275,71
204,62.985,70
205,53.42,69
206,189.805,187
207,178.655,186
208,194.9275,185
209,191.9575,184
210,193.69,183
211,182.6375,182
212,193.9725,181
213,179.2675,180
214,190.295,179
215,204.48,178
216,186.4225,177
217,183.005,176
218,206.0125,175
219,183.4475,174
220,175.46,173
221,179.445,172
222,172.5175,171
223,179.12,170
224,171.4225,169
225,173.66,168
226,170.725,167
227,172.645,166
228,175.6075,165
229,179.285,164
230,188.82,163
231,169.385,162
232,181.0625,161
233,176.17,160
234,169.1725,159
235,162.0925,158
236,169.3525,157
237,159.1225,156
238,188.635,155
239,164.1325,154
240,157.58,153
241,208.9675,152
242,153.1575,151
243,161.595,150
244,174.975,149
245,160.0025,148
246,161.4225,147
247,158.5,146
248,153.625,145
249,149.625,144
250,153.4675,143
251,149.63,142
252,150.3425,141
253,152.7225,140
254,148.2075,139
255,149.445,138
256,147.5025,137
257,145.9825,136
258,148.325,135
259,147.8125,134
260,145.3425,133
261,142.365,132
262,136.9125,131
263,144.405,130
264,143.8475,129
265,144.8875,128
266,144.1475,127
267,127.27,126
268,135.9775,125
269,135.74,124
270,147.78,123
271,137.0275,122
272,143.4425,121
273,137.2925,120
274,125.1175,119
275,120.805,118
276,125.3,117
277,112.1925,116
278,127.775,115
279,113.1925,114
280,113.7975,113
281,114.615,112
282,120.1875,111
283,111.905,110
284,133.1625,109
285,121.3825,108
286,139.3775,107
287,123.09,106
288,121.89,105
289,117.885,104
290,127.205,103
291,111.3275,102
292,107.9575,101
293,115.025,100
294,110.8175,99
295,113.5325,98
296,110.3625,97
297,111.54,96
298,114.3575,95
299,100.3625,94
300,109.75,93
301,98.1375,92
302,93.7225,91
303,96.115,90
304,101.8175,89
305,95.3525,88
306,85.63,87
307,114.5125,86
308,90.0925,85
309,86.1425,84
310,81.5875,83
311,75.495,82
312,194.24,188
313,197.9675,187
314,192.9725,186
315,185.0575,185
316,192.51,184
317,193.3975,183
318,186.6725,182
319,187.3725,181
320,185.775,180
321,180.555,179
322,206.55,178
323,185.98,177
324,179.9325,176
325,182.71,175
326,179.1775,174
327,175.575,173
328,176.5,172
329,176.075,171
330,175.8625,170
331,169.8025,169
332,178.5925,168
333,172.1475,167
334,180.7675,166
335,185.7075,165
336,172.6725,164
337,171.42,163
338,170.985,162
339,165.0825,161
340,173.115,160
341,161.225,159
342,180.025,158
343,166.2925,157
344,172.1,156
345,159.625,155
346,153.08,154
347,168.795,153
348,165.7175,152
349,160.96,151
350,159.335,150
351,168.8425,149
352,166.3475,148
353,147.13,147
354,154.12,146
355,149.2625,145
356,172.5975,144
357,152.21,143
358,150.23,142
359,143.605,141
360,144.8075,140
361,143.6425,139
362,145.57,138
363,149.175,137
364,151.1475,136
365,155.8275,135
366,146.68,134
367,139.23,133
368,151.7275,132
369,141.5475,131
370,151.265,130
371,149.905,129
372,141.5525,128
373,130.1225,127
374,136.215,126
375,130.425,125
376,134.64,124
377,134.0225,123
378,127.3025,122
379,118.075,121
380,129.42,120
381,130.54,119
382,130.1075,118
383,129.0175,117
384,131.1375,116
385,112.325,115
386,126.33,114
387,115.5225,113
388,137.875,112
389,119.6175,111
390,123.855,110
391,121.9675,109
392,113.155,108
393,116.81,107
394,110.725,106
395,115.3875,105
396,114.915,104
397,123.3925,103
398,108.1775,102
399,108.2325,101
400,118.6625,100
401,111.91,99
402,103.3325,98
403,104.2375,97
404,101.0075,96
405,112.6625,95
406,92.8875,94
407,99.9125,93
408,103.9225,92
409,103.9325,91
410,191.1525,197
411,206.0125,196
412,193.7375,195
413,187.1575,194
414,198.1125,193
415,195.0725,192
416,199.5025,191
417,195.9775,190
418,182.2625,189
419,190.5325,188
420,192.24,187
421,185.1675,186
422,188.6975,185
423,184.7325,184
424,175.6475,183
425,177.1775,182
426,182.255,181
427,187.8375,180
428,187.525,179
429,168.8,178
430,173.06,177
431,188.3875,176
432,184.665,175
433,162.69,174
434,166.3975,173
435,171.2625,172
436,169.2625,171
437,173.195,170
438,172.36,169
439,178.9825,168
440,162.345,167
441,158.86,166
442,153.6775,165
443,174.9025,164
444,155.72,163
445,157.8925,162
446,171.145,161
447,179.1725,160
448,160.1975,159
449,148.2075,158
450,168.555,157
451,146.215,156
452,166.9,155
453,144.5925,154
454,147.1325,153
455,147.6125,152
456,148.2675,151
457,148.6475,150
458,148.76,149
459,147.9125,148
460,169.3725,147
461,150.455,146
462,139.7775,145
463,147.08,144
464,139.3725,143
465,163.9675,142
466,139.9025,141
467,147.7125,140
468,135.54,139
469,162.715,138
470,137.835,137
471,125.9125,136
472,135.5025,135
473,132.46,134
474,133.1,133
475,135.62,132
476,132.2475,131
477,135.4325,130
478,146.565,129
479,121.935,128
480,138.7925,127
481,122.5775,126
482,129.33,125
483,121.0625,124
484,127.53,123
485,115.705,122
486,122.4425,121
487,118.2575,120
488,113.7025,119
489,105.99,118
490,118.3,117
491,124.93,116
492,129.0175,115
493,115.4475,114
494,115.5025,113
495,128.1925,112
496,120.4775,111
497,111.435,110
498,121.0925,109
499,117.015,108
500,112.285,107
501,108.155,106
502,107.9675,105
503,117.6875,104
504,96.5275,103
505,98.1,102
506,118.0775,101
507,100.325,100
508,107.72,99
509,107.1225,98
510,101.9875,97
511,100.075,96
512,99.41,95
513,104.12,94
514,90.7025,93
515,198.53,250
516,215.6025,249
517,221.9275,248
518,235.7675,247
519,205.12,246
520,211.49,245
521,235.415,244
522,199.6425,243
523,206.9325,242
524,209.8925,241
525,205.465,240
526,208.6625,239
527,205.975,238
528,212.4925,237
529,208.2625,236
530,206.9225,235
531,196.975,234
532,221.245,233
533,189.9675,232
534,203.29,231
535,210.065,230
536,199.8325,229
537,203.46,228
538,194.095,227
539,200.435,226
540,185.41,225
541,193.995,224
542,188.565,223
543,192.12,222
544,195.2575,221
545,216.745,220
546,189.945,219
547,198.5625,218
548,193.92,217
549,179.1025,216
550,175.2825,215
551,162.4525,214
552,188.9825,213
553,194.055,212
554,194.83,211
555,197.7375,210
556,186.46,209
557,186.635,208
558,165.9925,207
559,179.655,206
560,182.86,205
561,174.985,204
562,171.78,203
563,169.3825,202
564,164.1425,201
565,182.1725,200
566,161.8425,199
567,159.67,198
568,171.8875,197
569,165.3325,196
570,148.7825,195
571,172.3875,194
572,161.06,193
573,168.8925,192
574,155.5375,191
575,189.89,190
576,172.52,189
577,154.7425,188
578,153.18,187
579,170.5,186
580,158.865,185
581,154.5675,184
582,159.2575,183
583,156.2225,182
584,173.395,181
585,154.27,180
586,159.565,179
587,145.285,178
